CT,LTPAD,LTPAN,LTWAD,LTWAN,LTMAD,LTMAN
10300,422,28,197,13,225,15
20100,2610,175,1242,73,1368,102
20300,354,38,175,12,179,26
30500,859,147,553,103,306,44
40200,388,44,233,29,155,15
40500,215,39,121,21,94,18
40600,197,34,91,15,106,19
40900,659,106,348,58,311,48
50100,768,98,458,71,310,27
50600,771,120,454,79,317,41
50900,481,48,292,33,189,15
51000,451,44,278,29,173,15
51100,50,6,34,3,16,3
60300,1043,152,533,88,510,64
60500,633,92,337,39,296,53
70300,815,75,414,27,401,48
70500,920,53,469,27,451,26
70600,841,73,479,34,362,39
70800,673,45,364,26,309,19
70900,1410,130,754,63,656,67
80200,730,124,401,68,329,56
80400,510,63,257,34,253,29
80600,851,76,440,36,411,40
80700,561,31,309,12,252,19
80900,746,86,401,51,345,35
90100,817,100,426,50,391,50
90200,1142,198,649,112,493,86
90300,650,107,351,55,299,52
100500,1067,175,611,98,456,77
101100,896,85,482,44,414,41
101400,1725,219,950,115,775,104
101600,397,40,226,23,171,17
101700,665,75,403,48,262,27
101800,1383,218,777,121,606,97
110200,1803,162,987,91,816,71
110600,1412,120,782,63,630,57
111300,909,79,513,45,396,34
111400,496,61,269,36,227,25
111500,1079,126,625,80,454,46
120300,607,78,374,50,233,28
120400,277,32,163,23,114,9
120700,256,39,165,29,91,10
120800,289,41,176,29,113,12
130100,619,63,386,33,233,30
130200,389,57,247,39,142,18
130300,483,72,296,44,187,28
130400,348,43,197,18,151,25
130600,1229,163,718,99,511,64
140100,1299,129,660,51,639,78
140200,853,82,417,32,436,50
140300,1802,164,942,80,860,84
140400,1378,124,718,48,660,76
140500,825,100,475,57,350,43
140600,1765,157,938,64,827,93
140800,2454,215,1272,100,1182,115
141000,540,54,304,26,236,28
141100,785,119,423,62,362,57
141300,1998,195,1056,99,942,96
141400,2867,303,1482,144,1385,159
151600,1219,171,653,97,566,74
151700,2411,340,1266,173,1145,167
160800,991,135,507,73,484,62
160900,914,147,487,85,427,62
170200,1161,169,575,88,586,81
170600,574,87,288,42,286,45
180300,779,101,440,54,339,47
180700,801,155,439,85,362,70
190300,821,118,468,56,353,62
191100,1041,175,542,82,499,93
191400,979,197,546,109,433,88
191500,781,109,404,62,377,47
191600,1766,302,935,163,831,139
191700,1644,260,886,133,758,127
191800,2682,428,1498,236,1184,192
191900,1014,128,566,69,448,59
192000,1558,261,838,150,720,111
202200,1131,158,629,87,502,71
202300,1804,346,985,163,819,183
210700,793,114,460,71,333,43
220600,606,73,308,35,298,38
240600,929,150,471,74,458,76
241200,371,80,192,39,179,41
250300,450,42,236,23,214,19
250700,202,27,111,13,91,14
250900,409,63,226,36,183,27
260200,940,132,511,58,429,74
260700,759,85,402,34,357,51
260900,467,16,261,9,206,7
261200,563,102,291,47,272,55
261400,765,126,450,73,315,53
261500,544,93,312,55,232,38
262000,962,176,540,90,422,86
270100,1119,170,654,88,465,82
270300,651,97,367,54,284,43
270400,406,58,232,31,174,27
270800,1321,265,730,139,591,126
271500,1112,162,615,80,497,82
281400,1077,159,602,90,475,69
281500,630,110,340,55,290,55
290100,988,156,533,82,455,74
290200,2049,327,1137,178,912,149
290400,1903,333,1053,172,850,161
300100,1419,197,794,127,625,70
310200,1842,375,961,187,881,189
310300,589,102,316,57,273,45
320400,945,159,519,72,426,87
320600,1159,143,625,81,534,62
320700,854,151,450,71,404,80
401100,2585,622,1450,332,1135,290
401200,1116,247,617,150,499,97
401300,1457,315,782,161,675,154
402000,1465,320,775,165,690,155
403500,1728,321,942,182,786,139
